group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
pack string[1m],rmps,,,,1042299.0,ns,19
pack string[1m],rmps,,,,2050722.0,ns,38
pack string[1m],rmps,,,,3073130.0,ns,57
pack string[1m],rmps,,,,4099774.0,ns,76
pack string[1m],rmps,,,,5119075.0,ns,95
pack string[1m],rmps,,,,6146956.0,ns,114
pack string[1m],rmps,,,,7173411.0,ns,133
pack string[1m],rmps,,,,8197500.0,ns,152
pack string[1m],rmps,,,,9218554.0,ns,171
pack string[1m],rmps,,,,10247024.0,ns,190
pack string[1m],rmps,,,,11263959.0,ns,209
pack string[1m],rmps,,,,12290221.0,ns,228
pack string[1m],rmps,,,,13315025.0,ns,247
pack string[1m],rmps,,,,14333488.0,ns,266
pack string[1m],rmps,,,,15361814.0,ns,285
pack string[1m],rmps,,,,16380610.0,ns,304
pack string[1m],rmps,,,,17403619.0,ns,323
pack string[1m],rmps,,,,18425778.0,ns,342
pack string[1m],rmps,,,,19612547.0,ns,361
pack string[1m],rmps,,,,20504573.0,ns,380
pack string[1m],rmps,,,,21515836.0,ns,399
pack string[1m],rmps,,,,22540287.0,ns,418
pack string[1m],rmps,,,,23567164.0,ns,437
pack string[1m],rmps,,,,24573914.0,ns,456
pack string[1m],rmps,,,,25593709.0,ns,475
pack string[1m],rmps,,,,26616158.0,ns,494
pack string[1m],rmps,,,,27623538.0,ns,513
pack string[1m],rmps,,,,28656572.0,ns,532
pack string[1m],rmps,,,,29716137.0,ns,551
pack string[1m],rmps,,,,30692106.0,ns,570
pack string[1m],rmps,,,,31719699.0,ns,589
pack string[1m],rmps,,,,32771376.0,ns,608
pack string[1m],rmps,,,,33746841.0,ns,627
pack string[1m],rmps,,,,34806176.0,ns,646
pack string[1m],rmps,,,,35876228.0,ns,665
pack string[1m],rmps,,,,36816128.0,ns,684
pack string[1m],rmps,,,,37834793.0,ns,703
pack string[1m],rmps,,,,38805218.0,ns,722
pack string[1m],rmps,,,,39817664.0,ns,741
pack string[1m],rmps,,,,40831576.0,ns,760
pack string[1m],rmps,,,,41845256.0,ns,779
pack string[1m],rmps,,,,42852752.0,ns,798
pack string[1m],rmps,,,,43878325.0,ns,817
pack string[1m],rmps,,,,44872734.0,ns,836
pack string[1m],rmps,,,,45893149.0,ns,855
pack string[1m],rmps,,,,46900058.0,ns,874
pack string[1m],rmps,,,,47939956.0,ns,893
pack string[1m],rmps,,,,48936989.0,ns,912
pack string[1m],rmps,,,,49944177.0,ns,931
pack string[1m],rmps,,,,50951618.0,ns,950
pack string[1m],rmps,,,,51955579.0,ns,969
pack string[1m],rmps,,,,52957209.0,ns,988
pack string[1m],rmps,,,,53971423.0,ns,1007
pack string[1m],rmps,,,,55039252.0,ns,1026
pack string[1m],rmps,,,,56012109.0,ns,1045
pack string[1m],rmps,,,,57059102.0,ns,1064
pack string[1m],rmps,,,,58114772.0,ns,1083
pack string[1m],rmps,,,,59195687.0,ns,1102
pack string[1m],rmps,,,,60173315.0,ns,1121
pack string[1m],rmps,,,,61137978.0,ns,1140
pack string[1m],rmps,,,,62199351.0,ns,1159
pack string[1m],rmps,,,,63151796.0,ns,1178
pack string[1m],rmps,,,,64178873.0,ns,1197
pack string[1m],rmps,,,,65179690.0,ns,1216
pack string[1m],rmps,,,,66186967.0,ns,1235
pack string[1m],rmps,,,,67167524.0,ns,1254
pack string[1m],rmps,,,,68192683.0,ns,1273
pack string[1m],rmps,,,,69227878.0,ns,1292
pack string[1m],rmps,,,,70171728.0,ns,1311
pack string[1m],rmps,,,,71176420.0,ns,1330
pack string[1m],rmps,,,,72224015.0,ns,1349
pack string[1m],rmps,,,,73934851.0,ns,1368
pack string[1m],rmps,,,,74736101.0,ns,1387
pack string[1m],rmps,,,,75510468.0,ns,1406
pack string[1m],rmps,,,,76481859.0,ns,1425
pack string[1m],rmps,,,,77473384.0,ns,1444
pack string[1m],rmps,,,,78486468.0,ns,1463
pack string[1m],rmps,,,,79484663.0,ns,1482
pack string[1m],rmps,,,,80526804.0,ns,1501
pack string[1m],rmps,,,,81487510.0,ns,1520
pack string[1m],rmps,,,,82635589.0,ns,1539
pack string[1m],rmps,,,,83564494.0,ns,1558
pack string[1m],rmps,,,,84460388.0,ns,1577
pack string[1m],rmps,,,,85584026.0,ns,1596
pack string[1m],rmps,,,,86490929.0,ns,1615
pack string[1m],rmps,,,,87498697.0,ns,1634
pack string[1m],rmps,,,,88455537.0,ns,1653
pack string[1m],rmps,,,,89525678.0,ns,1672
pack string[1m],rmps,,,,90528837.0,ns,1691
pack string[1m],rmps,,,,91506740.0,ns,1710
pack string[1m],rmps,,,,92785837.0,ns,1729
pack string[1m],rmps,,,,93617053.0,ns,1748
pack string[1m],rmps,,,,94574607.0,ns,1767
pack string[1m],rmps,,,,95565625.0,ns,1786
pack string[1m],rmps,,,,96597676.0,ns,1805
pack string[1m],rmps,,,,97578941.0,ns,1824
pack string[1m],rmps,,,,98470840.0,ns,1843
pack string[1m],rmps,,,,99500277.0,ns,1862
pack string[1m],rmps,,,,100514291.0,ns,1881
pack string[1m],rmps,,,,101442618.0,ns,1900
